Numrow,ID,LocX,LocY,RegDens,RegPop,MedHHInc,MeanHHSz
39,00688,-66.613484,18.40415,75.0,13501.0,11729.0,3.0099999979138374
40,00690,-67.09867,18.495369,85.0,5249.0,12629.0,2.889999993145466
41,00692,-66.331864,18.419666,81.0,35223.0,13691.0,3.1599999964237213
42,00693,-66.392106,18.440667,83.0,64054.0,13857.0,3.119999997317791
43,00698,-66.855879,18.06547,78.0,46384.0,11924.0,3.0699999928474426
44,006HH,-66.834528,18.473441,,0.0,0.0,0.0
45,006XX,-67.88803,18.102537,,0.0,0.0,0.0
46,00703,-66.128274,18.246205,80.0,28752.0,12463.0,3.119999997317791
47,00704,-66.22291,17.970112,85.0,7593.0,11340.0,3.059999994933605
48,00705,-66.265419,18.12942,80.0,26493.0,12725.0,3.1299999952316284
49,00707,-65.910184,18.014505,77.0,12741.0,11638.0,3.189999997615814
50,00714,-66.055525,17.987288,83.0,19117.0,11484.0,3.089999996125698
51,00715,-66.558687,18.003492,63.0,2268.0,10556.0,2.7799999937415123
52,00716,-66.599655,17.999066,89.0,38859.0,15610.0,3.059999994933605
53,00717,-66.613746,18.004303,99.0,23083.0,11697.0,2.5499999970197678
54,00718,-65.742938,18.22048,74.0,23753.0,11461.0,2.969999998807907
55,00719,-66.250988,18.294571,82.0,29921.0,12472.0,3.3199999928474426
56,00720,-66.422657,18.217827,73.0,23844.0,9945.0,3.3499999940395355
57,00723,-66.013105,18.023196,74.0,20152.0,12021.0,3.059999994933605
58,00725,-66.04502,18.233927,88.0,144024.0,16558.0,2.969999998807907
59,00728,-66.652183,18.013353,89.0,52069.0,14351.0,3.2599999979138374
60,00729,-65.890899,18.35615,84.0,50982.0,14131.0,3.239999994635582
61,00730,-66.617275,18.022626,98.0,38828.0,10992.0,2.889999993145466
62,00731,-66.61192,18.077329,74.0,21351.0,13246.0,3.339999996125698
63,00735,-65.659878,18.258444,77.0,18004.0,16440.0,2.9199999943375587
64,00736,-66.153773,18.112895,80.0,49673.0,13511.0,3.0
65,00738,-65.661163,18.32265,83.0,38173.0,15859.0,2.8599999994039536
66,00739,-66.162715,18.16984,82.0,40450.0,15571.0,3.2299999967217445
67,00740,-65.627617,18.331711,93.0,2539.0,9748.0,2.809999994933605
68,00741,-65.757658,18.160755,81.0,5819.0,13195.0,3.059999994933605
69,00745,-65.82277,18.366213,80.0,52362.0,15006.0,3.139999993145466
70,00751,-66.265346,17.993803,72.0,23895.0,11298.0,3.0399999991059303
71,00754,-65.968314,18.15633,79.0,40997.0,12226.0,3.0999999940395355
72,00757,-66.394573,17.98631,77.0,21665.0,11895.0,3.189999997615814
73,00765,-65.456036,18.125664,65.0,9106.0,9331.0,2.739999994635582
74,00766,-66.482086,18.126023,79.0,27913.0,11728.0,3.5499999970197678
75,00767,-65.897039,18.072752,78.0,39246.0,12292.0,3.189999997615814
76,00769,-66.361103,18.092813,75.0,37597.0,12064.0,3.189999997615814
77,00771,-65.870889,18.18744,81.0,34485.0,14622.0,3.0799999982118607
78,00772,-65.876055,18.427674,83.0,24890.0,8962.0,3.389999993145466
79,00773,-65.721335,18.361344,79.0,19817.0,13631.0,3.0
80,00775,-65.292575,18.311149,28.0,1868.0,17008.0,2.619999997317791
81,00777,-65.913162,18.224088,83.0,36452.0,13072.0,3.019999995827675
82,00778,-65.977913,18.258628,83.0,36743.0,16451.0,3.1099999994039536
83,00780,-66.559397,18.068538,76.0,10017.0,12092.0,3.369999997317791
84,00782,-66.2267,18.223348,78.0,18897.0,11027.0,3.149999998509884
85,00783,-66.323059,18.304874,80.0,36867.0,11786.0,3.2599999979138374
86,00784,-66.127791,17.984137,78.0,43926.0,12180.0,3.0099999979138374
87,00791,-65.822693,18.147257,83.0,53216.0,14464.0,3.0299999937415123
88,00794,-66.310581,18.204294,80.0,28909.0,11322.0,3.309999994933605
89,00795,-66.502899,18.036253,79.0,50531.0,12892.0,3.339999996125698
90,007HH,-66.014594,17.981672,,0.0,0.0,0.0
91,007XX,-66.555461,17.962234,,0.0,0.0,0.0
92,00901,-66.107862,18.465426,98.0,7418.0,9751.0,2.0699999928474426
93,00906,-66.100792,18.46454,100.0,545.0,7361.0,2.7899999991059303
94,00907,-66.077987,18.451131,99.0,22173.0,21485.0,2.019999995827675
95,00909,-66.067647,18.442282,99.0,7671.0,13840.0,2.3599999994039536
96,00911,-66.057706,18.45009,100.0,9345.0,24987.0,1.969999998807907
97,00912,-66.059286,18.445946,100.0,7992.0,14506.0,2.3799999952316284
98,00913,-66.042563,18.450907,100.0,10893.0,6450.0,2.809999994933605
99,00915,-66.048884,18.436995,100.0,35993.0,10038.0,2.619999997317791
100,00917,-66.0513,18.422263,100.0,26165.0,12068.0,2.469999998807907
101,00918,-66.06494,18.417668,98.0,18144.0,27639.0,2.1799999997019768
102,00920,-66.090693,18.41242,95.0,19424.0,20759.0,2.439999997615814
103,00921,-66.086336,18.394019,99.0,45230.0,15923.0,2.6699999943375587
104,00923,-66.038062,18.410681,100.0,31410.0,12594.0,2.619999997317791
105,00924,-66.011943,18.401917,99.0,62205.0,14820.0,2.8799999952316284
106,00925,-66.050288,18.400006,99.0,8101.0,11970.0,2.399999998509884
107,00926,-66.056208,18.361363,95.0,102545.0,26306.0,2.899999998509884
108,00927,-66.068678,18.39184,98.0,16560.0,30625.0,2.5
109,00934,-66.121987,18.413511,77.0,722.0,37063.0,2.769999995827675
110,00949,-66.204207,18.433173,93.0,81694.0,18968.0,3.0699999928474426
111,00952,-66.180146,18.429218,98.0,12028.0,14398.0,3.139999993145466
112,00953,-66.234147,18.36802,88.0,62470.0,20313.0,3.269999995827675
113,00956,-66.16643,18.34216,91.0,80844.0,17956.0,2.989999994635582
114,00957,-66.186695,18.369674,99.0,50620.0,17866.0,3.1099999994039536
115,00959,-66.159436,18.387063,98.0,53465.0,22301.0,2.8199999928474426
116,00961,-66.160338,18.412462,96.0,39407.0,23219.0,2.959999993443489
117,00962,-66.138474,18.437683,96.0,30071.0,12852.0,3.1099999994039536
118,00965,-66.117034,18.431453,96.0,9397.0,10978.0,2.969999998807907
119,00966,-66.115224,18.398507,98.0,15785.0,49354.0,2.5999999940395355
120,00968,-66.102507,18.408479,97.0,3885.0,38075.0,2.0999999940395355
121,00969,-66.108892,18.366981,98.0,48787.0,35516.0,2.9299999997019768
122,00971,-66.118768,18.329688,86.0,29136.0,16045.0,2.989999994635582
123,00976,-66.005613,18.346767,92.0,73465.0,22143.0,3.059999994933605
124,00979,-66.012709,18.431885,95.0,18681.0,29234.0,2.219999998807907
125,00982,-65.993138,18.409345,98.0,14641.0,20906.0,2.6999999955296516
126,00983,-65.975824,18.414408,99.0,47396.0,20012.0,2.939999997615814
127,00985,-65.946912,18.374896,87.0,60824.0,18854.0,3.0999999940395355
128,00987,-65.962753,18.372228,96.0,40879.0,23884.0,3.1799999997019768
129,009HH,-66.066533,18.435287,,0.0,0.0,0.0
130,01001,-72.62029,42.07061,83.0,16475.0,45735.0,2.25
131,01002,-72.503237,42.377651,77.0,36776.0,42567.0,2.459999993443489
132,01005,-72.104432,42.412094,59.0,5079.0,50395.0,2.689999997615814
133,01007,-72.411005,42.278424,68.0,12997.0,52425.0,2.649999998509884
134,01008,-72.948288,42.174313,28.0,1234.0,52663.0,2.6799999997019768
135,01010,-72.205521,42.126038,56.0,3350.0,50181.0,2.6699999943375587
136,01011,-73.019589,42.271442,37.0,2085.0,45511.0,2.619999997317791
137,01012,-72.843564,42.390836,34.0,521.0,50938.0,2.7299999967217445
138,01013,-72.603165,42.161492,93.0,22963.0,32412.0,2.339999996125698
139,01020,-72.572655,42.175992,88.0,29325.0,37282.0,2.3299999982118607
140,01022,-72.55606,42.196666,75.0,2365.0,41083.0,1.9799999967217445
141,01026,-72.918131,42.465041,41.0,1079.0,42917.0,2.3499999940395355
142,01027,-72.686772,42.27279,73.0,17493.0,45921.0,2.3499999940395355
143,01028,-72.510205,42.066795,82.0,14195.0,62835.0,2.6599999964237213
144,01029,-73.042042,42.175896,40.0,581.0,46528.0,2.2899999991059303
145,01030,-72.672484,42.070774,81.0,11669.0,55724.0,2.7299999967217445
146,01031,-72.188334,42.33071,59.0,1243.0,44333.0,2.5499999970197678
147,01032,-72.815513,42.45792,33.0,201.0,52500.0,2.2799999937415123
148,01033,-72.518316,42.254563,67.0,6134.0,54173.0,2.689999997615814
149,01034,-72.94464,42.086224,31.0,1929.0,53333.0,2.6699999943375587
150,01035,-72.573302,42.35549,67.0,4793.0,51851.0,2.4499999955296516
151,01036,-72.417355,42.064703,69.0,5076.0,65196.0,2.769999995827675
152,01037,-72.195241,42.374202,38.0,740.0,56094.0,2.75
153,01038,-72.608325,42.375155,69.0,2652.0,50030.0,2.439999997615814
154,01039,-72.692596,42.381475,60.0,1085.0,53750.0,2.339999996125698
155,01040,-72.6242,42.201891,85.0,39838.0,30441.0,2.5699999928474426
156,01050,-72.879426,42.290209,47.0,2385.0,49336.0,2.6999999955296516
157,01053,-72.702062,42.353105,71.0,1514.0,56094.0,2.3199999928474426
158,01054,-72.498797,42.479839,49.0,1453.0,60208.0,2.5799999982118607
159,01056,-72.470687,42.174893,79.0,21149.0,47053.0,2.5499999970197678
160,01057,-72.317005,42.089269,65.0,8299.0,52159.0,2.639999993145466
161,01060,-72.635615,42.324539,84.0,16261.0,38739.0,1.9299999997019768
162,01062,-72.679157,42.324232,77.0,11172.0,47115.0,2.459999993443489
163,01068,-72.044138,42.349769,53.0,1713.0,60781.0,2.899999998509884
164,01069,-72.326468,42.176401,71.0,9879.0,42154.0,2.4099999964237213
165,01070,-72.916614,42.515853,32.0,548.0,36500.0,2.3799999952316284
166,01071,-72.851532,42.165931,55.0,1649.0,46500.0,2.7299999967217445
167,01072,-72.422088,42.486027,51.0,1489.0,56563.0,2.7299999967217445
168,01073,-72.727778,42.223885,66.0,5387.0,61831.0,2.709999993443489
169,01075,-72.582439,42.234891,81.0,17254.0,46731.0,2.339999996125698
170,01077,-72.769668,42.05283,70.0,8835.0,52296.0,2.6599999964237213
171,01080,-72.365182,42.180563,81.0,2585.0,39155.0,2.5399999991059303
172,01081,-72.225177,42.058024,59.0,1620.0,48125.0,2.5999999940395355
173,01082,-72.260675,42.270611,68.0,9955.0,37438.0,2.4199999943375587
174,01083,-72.202592,42.20468,64.0,2297.0,37250.0,2.6699999943375587
175,01084,-72.890432,42.379807,26.0,161.0,58125.0,3.219999998807907
176,01085,-72.750297,42.133642,77.0,40734.0,45482.0,2.5399999991059303
177,01088,-72.632102,42.388831,56.0,522.0,40250.0,2.0099999979138374
178,01089,-72.640665,42.112793,85.0,27899.0,40266.0,2.3299999982118607
179,01092,-72.23904,42.210777,65.0,1126.0,33750.0,2.5299999937415123
180,01095,-72.440574,42.12531,76.0,13672.0,64691.0,2.709999993443489
181,01096,-72.782719,42.415236,50.0,2641.0,46364.0,2.4299999997019768
182,01098,-72.938714,42.399054,37.0,1169.0,52734.0,2.439999997615814
183,010HH,-72.596388,42.19748,,0.0,0.0,0.0
184,01103,-72.591121,42.103294,98.0,2721.0,17899.0,1.699999999254942
185,01104,-72.573382,42.130343,93.0,22401.0,29138.0,2.4499999955296516
186,01105,-72.579806,42.096644,99.0,13161.0,15648.0,2.309999994933605
187,01106,-72.571208,42.050395,85.0,15903.0,74146.0,2.6299999952316284
188,01107,-72.606103,42.120193,98.0,11336.0,17574.0,3.0
189,01108,-72.555231,42.084094,98.0,25755.0,32011.0,2.5999999940395355
190,01109,-72.550315,42.116277,96.0,30851.0,27463.0,2.839999996125698
191,01118,-72.529101,42.093144,93.0,14199.0,47711.0,2.4799999967217445
192,01119,-72.509328,42.128442,92.0,13138.0,39728.0,2.5399999991059303
193,01128,-72.488573,42.095344,89.0,2917.0,57734.0,2.689999997615814
194,01129,-72.489602,42.121031,87.0,7043.0,46076.0,2.5099999979138374
195,01151,-72.50531,42.153926,92.0,8290.0,27808.0,2.4799999967217445
196,011HH,-72.589764,42.095719,,0.0,0.0,0.0
197,01201,-73.254003,42.45384,77.0,47658.0,36448.0,2.269999995827675
198,01220,-73.118427,42.619727,70.0,9404.0,33102.0,2.209999993443489
199,01222,-73.321771,42.057496,65.0,825.0,51250.0,2.739999994635582
200,01223,-73.093359,42.314449,33.0,1764.0,48750.0,2.559999994933605
201,01225,-73.165306,42.551731,61.0,2806.0,40399.0,2.5299999937415123
202,01226,-73.115476,42.476575,61.0,7858.0,49238.0,2.5299999937415123
203,01230,-73.352493,42.189715,54.0,9242.0,45630.0,2.2799999937415123
204,01235,-73.092783,42.433661,48.0,2538.0,42467.0,2.6099999994039536
205,01236,-73.362363,42.266874,65.0,2015.0,48281.0,2.369999997317791
206,01237,-73.243648,42.557346,47.0,2449.0,45951.0,2.5399999991059303
207,01238,-73.232707,42.299263,59.0,6402.0,42538.0,2.4199999943375587
208,01240,-73.27683,42.36237,66.0,5285.0,43700.0,2.1299999952316284
209,01242,-73.245995,42.336557,82.0,106.0,80783.0,2.519999995827675
210,01244,-73.203123,42.139104,,0.0,0.0,0.0
211,01245,-73.208499,42.180659,35.0,973.0,50903.0,2.209999993443489
212,01247,-73.101456,42.696064,70.0,17052.0,29288.0,2.25
213,01253,-73.102052,42.198403,37.0,644.0,54107.0,2.4499999955296516
214,01254,-73.363363,42.374711,53.0,998.0,58125.0,2.4299999997019768
215,01255,-73.124448,42.088973,22.0,783.0,45469.0,2.339999996125698
216,01256,-73.011232,42.592506,24.0,692.0,41477.0,2.4199999943375587
217,01257,-73.365918,42.102694,48.0,2335.0,45586.0,2.339999996125698
218,01258,-73.457344,42.103122,11.0,134.0,53125.0,2.089999996125698
219,01259,-73.246749,42.0645,34.0,521.0,56000.0,2.459999993443489
220,01262,-73.314232,42.283216,63.0,772.0,37917.0,1.6899999976158142
221,01264,-73.203943,42.224905,25.0,233.0,49750.0,2.4099999964237213
222,01266,-73.364077,42.328535,50.0,1742.0,51818.0,2.3499999940395355
223,01267,-73.223553,42.689962,62.0,8749.0,51503.0,2.219999998807907
224,012HH,-73.271249,42.329078,,0.0,0.0,0.0
225,01301,-72.600988,42.605524,78.0,18483.0,33498.0,2.189999997615814
226,01330,-72.81116,42.521131,41.0,1601.0,52361.0,2.4799999967217445
227,01331,-72.20836,42.579931,67.0,12899.0,35479.0,2.5
228,01337,-72.555694,42.678023,51.0,2619.0,45903.0,2.5699999928474426
229,01338,-72.802005,42.569498,34.0,21.0,23750.0,1.75
230,01339,-72.879391,42.626858,33.0,2051.0,46167.0,2.6099999994039536
231,01340,-72.731041,42.673371,39.0,1875.0,40455.0,2.6299999952316284
232,01341,-72.70403,42.508313,44.0,1745.0,55938.0,2.5999999940395355
233,01342,-72.6091,42.542322,49.0,1013.0,56776.0,2.5499999970197678
234,01344,-72.413965,42.607051,48.0,832.0,41250.0,2.4799999967217445
235,01346,-72.804946,42.669255,38.0,334.0,48438.0,2.8499999940395355
236,01349,-72.505253,42.5737,65.0,1644.0,35592.0,2.519999995827675
237,01350,-72.976291,42.712257,10.0,55.0,25500.0,1.9599999971687794
238,01351,-72.52522,42.534976,60.0,2422.0,56102.0,2.439999997615814
239,01355,-72.333451,42.485899,24.0,889.0,49500.0,2.459999993443489
240,01360,-72.456498,42.682285,54.0,2951.0,49141.0,2.5299999937415123
241,01364,-72.292633,42.599614,66.0,7564.0,36836.0,2.459999993443489
242,01366,-72.212269,42.474718,27.0,1174.0,47917.0,2.489999994635582
243,01367,-72.90962,42.694883,21.0,374.0,41667.0,2.3499999940395355
244,01368,-72.169995,42.671012,32.0,1269.0,44856.0,2.8199999928474426
245,01370,-72.727549,42.603447,54.0,4351.0,45545.0,2.399999998509884
246,01373,-72.624526,42.472734,62.0,5300.0,51544.0,2.4099999964237213
247,01375,-72.563029,42.449978,69.0,3787.0,37147.0,2.2799999937415123
248,01376,-72.544385,42.609425,73.0,6422.0,30062.0,2.2599999979138374
249,01378,-72.327299,42.667152,26.0,753.0,42083.0,2.589999996125698
250,01379,-72.417242,42.547274,37.0,938.0,44722.0,2.369999997317791
251,01380,-72.363147,42.594455,11.0,40.0,32083.0,2.1099999994039536
252,013HH,-72.496685,42.59699,,0.0,0.0,0.0
253,01420,-71.803383,42.578689,84.0,39102.0,37004.0,2.5
254,01430,-71.932874,42.658768,62.0,5569.0,55795.0,2.8599999994039536
255,01431,-71.813707,42.672005,59.0,2845.0,61000.0,2.889999993145466
256,01432,-71.591363,42.549821,77.0,8029.0,46619.0,2.2899999991059303
257,01436,-72.080212,42.608903,70.0,3053.0,42466.0,2.619999997317791
258,01438,-72.03498,42.563367,83.0,128.0,70250.0,2.7799999937415123
259,01440,-71.99183,42.575355,79.0,21111.0,37318.0,2.3499999940395355
260,01450,-71.557221,42.609887,70.0,9547.0,82869.0,2.899999998509884
261,01451,-71.588803,42.505928,67.0,5031.0,108024.0,2.839999996125698
262,01452,-71.996546,42.477515,55.0,3909.0,61462.0,2.969999998807907
263,01453,-71.753582,42.526523,83.0,41447.0,44925.0,2.4799999967217445
264,01460,-71.490859,42.540052,75.0,8184.0,71384.0,2.719999998807907
265,01462,-71.72051,42.582839,72.0,9401.0,56813.0,2.6599999964237213
266,01463,-71.592908,42.665686,75.0,11142.0,65163.0,2.889999993145466
267,01464,-71.64555,42.559289,73.0,6368.0,53344.0,2.5499999970197678
268,01467,-71.62412,42.488666,59.0,208.0,105710.0,3.769999995827675
269,01468,-72.068248,42.557796,63.0,3300.0,52561.0,2.8199999928474426
270,01469,-71.692042,42.658738,70.0,6072.0,64583.0,3.0
271,01473,-71.9021,42.544622,65.0,6907.0,57755.0,2.7299999967217445
272,01474,-71.745787,42.669408,68.0,3131.0,58306.0,2.899999998509884
273,01475,-72.046703,42.675441,68.0,9571.0,43516.0,2.7599999979138374
274,014HH,-71.930163,42.502879,,0.0,0.0,0.0
275,01501,-71.838432,42.20361,81.0,15827.0,52030.0,2.489999994635582
276,01503,-71.626658,42.380562,65.0,2380.0,65667.0,2.719999998807907
277,01504,-71.52999,42.028147,79.0,8804.0,55163.0,2.709999993443489
278,01505,-71.730262,42.338392,69.0,4008.0,67703.0,2.5499999970197678
279,01506,-72.097876,42.200374,66.0,3051.0,45655.0,2.5299999937415123
280,01507,-71.969617,42.135142,69.0,11263.0,63033.0,2.9199999943375587
281,01510,-71.68482,42.418836,88.0,13435.0,44740.0,2.3799999952316284
282,01515,-72.053118,42.212777,67.0,2097.0,51860.0,2.6999999955296516
283,01516,-71.728874,42.061437,65.0,7067.0,60369.0,2.839999996125698
284,01518,-72.123938,42.12515,68.0,2306.0,53750.0,2.519999995827675
285,01519,-71.687713,42.201674,76.0,5701.0,66534.0,2.739999994635582
286,01520,-71.844349,42.338962,78.0,12702.0,64379.0,2.689999997615814
287,01521,-72.161379,42.054676,65.0,2407.0,52073.0,2.6799999997019768
288,01522,-71.874189,42.369658,65.0,2919.0,63529.0,2.7799999937415123
289,01523,-71.679466,42.473131,70.0,7236.0,60885.0,2.7899999991059303
290,01524,-71.919083,42.238942,73.0,6178.0,55838.0,2.719999998807907
291,01527,-71.762727,42.196144,79.0,12784.0,51415.0,2.5299999937415123
292,01529,-71.577989,42.036396,76.0,2724.0,57000.0,2.9499999955296516
293,01531,-72.122489,42.317121,42.0,907.0,55250.0,2.9299999997019768
294,01532,-71.646927,42.321917,79.0,14013.0,79781.0,2.8299999982118607
295,01534,-71.64376,42.140741,76.0,4710.0,59279.0,2.75
296,01535,-72.078232,42.267274,67.0,4683.0,44286.0,2.5499999970197678
297,01536,-71.705231,42.231444,78.0,6430.0,54583.0,2.4299999997019768
298,01537,-71.889893,42.170846,70.0,1798.0,48064.0,2.209999993443489
299,01540,-71.8657,42.117527,76.0,11523.0,54466.0,2.6999999955296516
300,01541,-71.882008,42.451569,56.0,3353.0,80993.0,2.869999997317791
301,01542,-71.906517,42.194793,74.0,1926.0,61691.0,2.8499999940395355
302,01543,-71.964272,42.380877,64.0,6353.0,62846.0,2.769999995827675
303,01545,-71.725024,42.286643,84.0,31658.0,64175.0,2.5399999991059303
304,01550,-72.035334,42.070827,79.0,17214.0,33913.0,2.4099999964237213
305,01560,-71.693827,42.177462,79.0,2776.0,44730.0,2.399999998509884
306,01562,-71.992273,42.247212,72.0,11691.0,46598.0,2.5299999937415123
307,01564,-71.773331,42.436875,68.0,7257.0,67188.0,2.8199999928474426
308,01566,-72.085842,42.104581,66.0,5531.0,57989.0,2.559999994933605
309,01568,-71.60971,42.17382,69.0,5629.0,78410.0,2.739999994635582
310,01569,-71.629927,42.064978,73.0,11089.0,62231.0,2.7999999970197678
311,01570,-71.861086,42.047728,82.0,15700.0,38311.0,2.3499999940395355
312,01571,-71.917303,42.049864,75.0,10751.0,46753.0,2.5299999937415123
313,01581,-71.614085,42.269845,79.0,17997.0,73418.0,2.619999997317791
314,01583,-71.787001,42.359842,74.0,6195.0,54402.0,2.559999994933605
315,01585,-72.167347,42.242965,65.0,5569.0,42543.0,2.439999997615814
316,01588,-71.672259,42.114195,80.0,8517.0,47448.0,2.619999997317791
317,01590,-71.751218,42.131028,68.0,8250.0,75141.0,2.9299999997019768
318,015HH,-71.783878,42.166944,,0.0,0.0,0.0
319,01602,-71.844824,42.272359,91.0,22983.0,47906.0,2.389999993145466
320,01603,-71.837766,42.240526,95.0,17606.0,36092.0,2.5499999970197678
321,01604,-71.77459,42.255393,95.0,33519.0,37497.0,2.3199999928474426
322,01605,-71.788466,42.286543,94.0,24410.0,29348.0,2.459999993443489
323,01606,-71.795312,42.311342,91.0,19905.0,44689.0,2.339999996125698
324,01607,-71.795014,42.229543,92.0,7416.0,30707.0,2.2899999991059303
325,01608,-71.801738,42.261343,97.0,3222.0,17688.0,2.469999998807907
326,01609,-71.813486,42.271743,95.0,21314.0,31521.0,2.3599999994039536
327,01610,-71.807938,42.248493,99.0,23615.0,26152.0,2.5699999928474426
328,01611,-71.871392,42.238449,77.0,2398.0,47396.0,2.689999997615814
329,01612,-71.919294,42.307591,70.0,4386.0,72039.0,2.7899999991059303
330,016HH,-71.911214,42.350326,,0.0,0.0,0.0
331,01701,-71.423442,42.318695,86.0,31010.0,70613.0,2.519999995827675
332,01702,-71.421615,42.283995,93.0,36061.0,42614.0,2.3499999940395355
333,01718,-71.42721,42.519739,99.0,438.0,92203.0,2.3199999928474426
334,01719,-71.51244,42.486259,75.0,4868.0,87618.0,2.6299999952316284
335,01720,-71.442205,42.477142,81.0,19813.0,91492.0,2.709999993443489
336,01721,-71.458867,42.257956,82.0,14674.0,68392.0,2.559999994933605
337,01730,-71.275046,42.496679,80.0,12566.0,87962.0,2.5999999940395355
338,01731,-71.275566,42.459085,92.0,2933.0,49940.0,3.4299999997019768
339,01740,-71.612667,42.437086,66.0,4148.0,102798.0,2.9099999964237213
340,01741,-71.350849,42.5286,71.0,4717.0,129811.0,2.9199999943375587
341,01742,-71.37478,42.457201,77.0,17073.0,95997.0,2.619999997317791
342,01745,-71.504688,42.295544,76.0,340.0,85230.0,2.0499999970197678
343,01746,-71.437978,42.196065,78.0,13801.0,78092.0,2.869999997317791
344,01747,-71.536627,42.125536,81.0,5696.0,60651.0,2.5399999991059303
345,01748,-71.534182,42.220447,75.0,13346.0,89281.0,2.969999998807907
346,01749,-71.557914,42.389813,84.0,18113.0,58549.0,2.5699999928474426
347,01752,-71.54753,42.350909,85.0,36255.0,56879.0,2.469999998807907
348,01754,-71.455943,42.430781,86.0,10433.0,60812.0,2.4299999997019768
349,01756,-71.544745,42.092006,70.0,5286.0,71164.0,2.899999998509884
350,01757,-71.521498,42.149176,86.0,27010.0,50840.0,2.5499999970197678
351,01760,-71.353686,42.290763,87.0,31887.0,69832.0,2.4199999943375587
352,01770,-71.372025,42.231025,69.0,4200.0,121693.0,2.9499999955296516
353,01772,-71.53369,42.297643,76.0,8441.0,105160.0,3.019999995827675
354,01773,-71.303162,42.425537,72.0,5152.0,105860.0,2.589999996125698
355,01775,-71.510862,42.423882,71.0,5902.0,96290.0,2.8199999928474426
356,01776,-71.429892,42.38532,78.0,16841.0,118579.0,3.019999995827675
357,01778,-71.356438,42.345583,79.0,13222.0,101585.0,2.7999999970197678
358,01801,-71.15206,42.484545,90.0,37258.0,54897.0,2.469999998807907
359,01803,-71.200088,42.506362,86.0,22876.0,75240.0,2.7599999979138374
360,01810,-71.151301,42.646942,81.0,31247.0,87683.0,2.739999994635582
361,01821,-71.250547,42.54805,85.0,29274.0,67884.0,2.939999997615814
362,01824,-71.354402,42.595491,83.0,25428.0,73882.0,2.6699999943375587
363,01826,-71.316006,42.677772,83.0,28562.0,57676.0,2.7299999967217445
364,01827,-71.502926,42.671356,64.0,2822.0,86891.0,3.0699999928474426
365,01830,-71.070111,42.78519,85.0,24122.0,46475.0,2.469999998807907
